[2022-04-21 03:01:14,210] [240] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 03:01:55,599] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:56,007] [246] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 03:01:56,644] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:57,068] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:57,471] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:57,940] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:58,339] [246] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:01:58,730] [246] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-21 03:01:59,099] [246] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-21 03:01:59,539] [246] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 03:03:27,633] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:28,040] [252] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 03:03:28,718] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:29,118] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:29,492] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:29,932] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:30,329] [252] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:03:30,713] [252] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-21 03:03:31,096] [252] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-21 03:03:31,483] [252] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 03:07:24,738] [258] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:07:25,092] [258] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: requestofmine
[2022-04-21 03:07:25,607] [258] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:07:25,947] [258] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:07:26,315] [258] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:07:26,670] [258] 127.0.0.1 requested http://localhost/INFO in __init__: requestofmine
[2022-04-21 03:07:27,052] [258] 127.0.0.1 requested http://localhost/aboutINFO in __init__: requestofmine
[2022-04-21 03:07:27,391] [258] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
[2022-04-21 03:07:27,731] [258] 127.0.0.1 requested http://localhost/page5INFO in __init__: requestofmine
[2022-04-21 03:07:49,540] [254] 172.24.0.1 requested http://localhost/welcomeINFO in __init__: requestofmine
